Koefisien Variasi Harga Tingkat Produsen Tahun 2022-2024,,,,,
,,,,,
Kode Wilayah,Provinsi,Komoditas,Tahun,Bulan,Koefisien Variasi
17,Bengkulu,GKP Tingkat Petani,2022,November,
34,D.I Yogyakarta,GKP Tingkat Petani,2022,November,"1,56%"
75,Gorontalo,GKP Tingkat Petani,2022,November,
15,Jambi,GKP Tingkat Petani,2022,November,"11,26%"
32,Jawa Barat,GKP Tingkat Petani,2022,November,"9,97%"
33,Jawa Tengah,GKP Tingkat Petani,2022,November,"7,33%"
35,Jawa Timur,GKP Tingkat Petani,2022,November,"9,36%"
61,Kalimantan Barat,GKP Tingkat Petani,2022,November,"0,00%"
63,Kalimantan Selatan,GKP Tingkat Petani,2022,November,"11,77%"
62,Kalimantan Tengah,GKP Tingkat Petani,2022,November,"0,00%"
64,Kalimantan Timur,GKP Tingkat Petani,2022,November,
18,Lampung,GKP Tingkat Petani,2022,November,"7,39%"
52,Nusa Tenggara Barat,GKP Tingkat Petani,2022,November,"9,42%"
53,Nusa Tenggara Timur,GKP Tingkat Petani,2022,November,"0,00%"
14,Riau,GKP Tingkat Petani,2022,November,
76,Sulawesi Barat,GKP Tingkat Petani,2022,November,
73,Sulawesi Selatan,GKP Tingkat Petani,2022,November,"5,81%"
72,Sulawesi Tengah,GKP Tingkat Petani,2022,November,
74,Sulawesi Tenggara,GKP Tingkat Petani,2022,November,"8,01%"
71,Sulawesi Utara,GKP Tingkat Petani,2022,November,
13,Sumatera Barat,GKP Tingkat Petani,2022,November,"12,12%"
16,Sumatera Selatan,GKP Tingkat Petani,2022,November,"4,47%"
12,Sumatera Utara,GKP Tingkat Petani,2022,November,"7,86%"
11,Aceh,GKP Tingkat Petani,2022,Desember,"5,30%"
51,Bali,GKP Tingkat Petani,2022,Desember,"6,08%"
36,Banten,GKP Tingkat Petani,2022,Desember,"4,01%"
17,Bengkulu,GKP Tingkat Petani,2022,Desember,
34,D.I Yogyakarta,GKP Tingkat Petani,2022,Desember,"4,86%"
75,Gorontalo,GKP Tingkat Petani,2022,Desember,
15,Jambi,GKP Tingkat Petani,2022,Desember,"7,66%"
32,Jawa Barat,GKP Tingkat Petani,2022,Desember,"12,32%"
33,Jawa Tengah,GKP Tingkat Petani,2022,Desember,"9,14%"
35,Jawa Timur,GKP Tingkat Petani,2022,Desember,"9,37%"
61,Kalimantan Barat,GKP Tingkat Petani,2022,Desember,"0,86%"
63,Kalimantan Selatan,GKP Tingkat Petani,2022,Desember,"12,01%"
62,Kalimantan Tengah,GKP Tingkat Petani,2022,Desember,
64,Kalimantan Timur,GKP Tingkat Petani,2022,Desember,
18,Lampung,GKP Tingkat Petani,2022,Desember,"9,94%"
52,Nusa Tenggara Barat,GKP Tingkat Petani,2022,Desember,"6,54%"
53,Nusa Tenggara Timur,GKP Tingkat Petani,2022,Desember,"3,36%"
